,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
291,9,3,55,291,1,6,44032,443.0,375.0,0.7837290167808533,5,0,1,1
292,9,3,55,292,1,6,69632,443.0,375.0,0.1674720048904419,1,0,1,1
293,9,3,55,293,1,6,51200,443.0,375.0,0.5830219984054565,4,0,1,1
294,9,3,58,294,1,6,76800,443.0,375.0,0.500728964805603,0,0,1,1
295,9,3,54,295,1,6,71680,443.0,375.0,0.549534022808075,4,0,1,1
296,9,3,59,296,1,6,52224,443.0,375.0,0.7164980173110962,0,0,1,1
297,9,3,54,297,1,6,45056,443.0,375.0,1.0664609670639038,8,0,1,1
298,9,3,55,298,1,6,68608,443.0,375.0,0.181918978691101,1,0,1,1
299,9,3,54,299,1,6,46080,443.0,375.0,0.4171400070190429,9,0,1,1
300,9,3,55,300,1,6,56320,443.0,375.0,0.533968985080719,4,0,1,1
301,9,3,56,301,1,6,53248,443.0,375.0,0.2004719972610473,1,0,1,1
302,9,3,54,302,1,6,82944,443.0,375.0,0.833920955657959,8,0,1,1
303,9,3,55,303,1,6,70656,443.0,375.0,0.6506619453430176,3,0,1,1
304,9,3,56,304,1,6,65536,443.0,375.0,0.250370979309082,1,0,1,1
305,9,3,54,305,1,6,81920,443.0,375.0,0.6332129836082458,6,0,1,1
306,9,3,54,306,1,6,59392,443.0,375.0,0.3666800260543823,9,0,1,1
307,9,3,55,307,1,6,55296,443.0,375.0,0.5490399599075317,4,0,1,1
308,9,3,55,308,1,6,72704,443.0,375.0,0.7162119746208191,5,0,1,1
309,9,3,54,309,1,6,77824,443.0,375.0,0.7315980195999146,6,0,1,1
310,9,3,54,310,1,6,73728,443.0,375.0,0.400626003742218,7,0,1,1
311,9,3,58,311,1,6,80896,443.0,375.0,0.699753999710083,0,0,1,1
312,9,3,54,312,1,6,66560,443.0,375.0,0.566199004650116,3,0,1,1
